@relation SpamClsfyTraining

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
'no spam','\tCongratulations Gopi chand on your new\r\nHP Pavilion dm4-3055dx Entertainment Notebook PC\r\nPurchase Location: Best Buy\r\nRegistration Date: 2/18/2012\r\n \r\n\r\n\t\t\t\t\t\t\t\r\n\r\n\r\n\t\t\r\n\r\n\t\t\r\n\r\n\t\r\n\t\t\t\t\t\t\t\t\t\r\n\t\r\n\t\t\t\t\t\t\t\t\r\n\tLAPTOPS\r\n\r\nMini\r\n\r\nEveryday\r\n\r\nUltra-Portable\r\n\r\nHigh Performance\r\n\r\nENVY\r\n\r\n\tDESKTOPS\r\n\r\nEveryday\r\n\r\nSlim & Sleek\r\n\r\nHigh Performance\r\n\r\nTouchSmart PCs\r\n\r\nAll-in-Ones\r\n\r\n\tPRINTERS\r\n\r\nAll-in-Ones\r\n\r\nInkjets\r\n\r\nLaserJets\r\n\r\nWireless\r\n\r\nInk & Toner\r\n\r\n\tELECTRONICS\r\n\r\nTVs\r\n\r\nSoftware\r\n\r\nQuickship\r\n\r\n\r\n\r\n\t\t\t\t\t\t\t\t\r\n\t\r\n\r\nFACEBOOK\r\n\r\n\t\r\n\r\nTWITTER\r\n\r\n\t\r\n\r\nRSS\r\n\r\n\t\r\n\r\nSEE ALL \r\n\r\n\t\r\n\t\r\n\r\nCHANGE EMAIL\t\t\t\tPRIVACY POLICY\t\t\t\tUNSUBSCRIBE\t\r\n\r\n* Valid for HP Direct (hpdirect.com) internet and call center purchases only. Coupon valid while supplies last. Any unused portion will be forfeited. Each coupon code is limited to one usage per customer; one coupon code per checkout. Offer void where prohibited, taxed or restricted by law. Non-transferable. Not valid retroactively on previously purchased items. Not valid for any resale activity as defined by HP Direct. Coupons may not be used to purchase gift cards. May not be permitted with certain bundle offers. Products and support acquired by Customer under these Terms are solely for Customer\'s personal use and not for immediate resale or sub-licensing. Not valid on: Refurbished products, HP Services, all Compaq Presario Laptops and Desktops, all Mini, Touchpad FB355UA#ABA and FB359UA#ABA, G62t, G42t, G72t, G60t, G62m, G62x, HP ProBook 4520s, HP EliteBook 8440p, p6650z, p6610t, p6600z, s5650z, s5610t, P11002w, Personal Media drives, Pocket Media drives, SimpleSave drives, or Samsung products. Not valid on purchases from casesonline.com and HP download store (hp.digitalriver.com). Offer is combinable with Instant Rebates. For complete coupon conditions, see \"Coupon Information\" in the \"Customer Service\" section at www.hpdirect.com. \r\n\r\nHewlett-Packard Website http://www.hp.com \r\n\r\nYou are receiving this e-Mail because the e-mail address gopi.nutakki@gmail.com was registered at www.hp.com to receive relevant communications. \r\n\r\nIf you\'re having trouble viewing this e-mail, please click here \r\n\r\nClick on or copy this link to change your subscription information https://register.hp.com/americas/flowPage/login/index.do?cc=US&lang=en \r\n\r\nHP is committed to respecting your privacy. For more information, visit our privacy policy or contact us at HP Privacy Mailbox, 11445 Compaq Center Drive W., Mailstop 040307, Houston, TX 77070. \r\n\r\n© 2012 Hewlett-Packard Development Company, L.P. The information contained herein is subject to change without notice. '
'no spam','Hi gopi.nutakki@gmail.com,\r\n\r\nThank you for creating an OpenDNS account! You\'re one step closer to a safer, faster, smarter and more reliable Internet.\r\n\r\nThe next thing you should do is add a network to your account. It\'s easy — just log in to your account and select Networks in your Dashboard. Once you do that, you can:\r\n\r\n \r\n\tSet your filtering preferences.\r\nWant to block social networks like MySpace and Facebook or bandwidth-consuming sites like YouTube? Just go to Settings in your dashboard and choose \"content filtering.\"\r\n \r\n \r\n\tCustomize with your image and messages.\r\nEveryone on your network will see them. Just go to Settings and set \"your logo\" and \"your messages\" under Customization.\r\n \r\n \r\n\tView stats about your network activity.\r\nWant to see which Web sites people on your network are visiting? Block problem sites in a single click? Just visit the Stats tab. (Note: it takes 24 hours for your stats to populate. Don\'t worry — they\'re coming!)\r\n \r\n \r\n... And much more!\r\n\r\nAlso, don\'t forget to download the IP Updater client (for Windows and Mac OS X) after you add a network. You only need to download it on your (the account holder) machine, and it will ensure your settings remain in effect if your IP changes.\r\n\r\nIf you have questions as you get started with OpenDNS, check our Common Questions, or contact our all-star support team.'
spam,'We want to transfer to overseas the sum of One hundredand Forty Two\r\nMillion United States Dollars (U.S.$142,000,000.00) from a in Africa.\r\n\r\nI want to ask you to kindly look for a reliable and honest person who will\r\nbe capable and fit to provide either an existing bank account or to set up\r\na new bank account immediately to receive this money,though an empty bank\r\naccount could serve this purposeas long as you will remain honest to me\r\ntill the end of this important business trusting in you andbelieving in\r\nGod that you will never let me down either now or in time to come.\r\n\r\nWhile the total amount involved is One hundred andForty Two Million United\r\nStates Dollars(U.S.$142,000,000.00)only. I would want us to make a first\r\ntransfer of [Forty Two Million United States Dollar. (U.S.$42,000,000.00)\r\nfrom this money into a safe Foreigners account abroad before the rest. I\r\nam onlycontacting you as a foreigner because this money cannot be approved\r\nto a local account, without validinternational foreign ^ÓAgreement^Ô, but\r\ncould only be approved to any foreigner with valid international\r\ncredentials: passport or drivers license and foreign account because this\r\nsum is in U.S. dollars and the former owner of the account\r\nMr.Eshed.B.Willey is aforeigner too, thus the money could only be\r\napprovedinto a foreign account.\r\n\r\nAt the conclusion of this business, you will begiven 35\% of the\r\ntotal amount, 60\% will be for me,while 5\% will be for expenses both\r\nparties might haveincurred during this process.\r\n\r\nI look forward to your earliest reply through my email\r\naddress.     '
'no spam','Hey,\r\n\r\nI believe I wrote most of the program, but I couldnt test it as the systems have the firewall enabled, I cant disable them.\r\nThe attached zip file contains an eclipse project(can be directly imported into netbeans).\r\n\r\nThe host names in the a.dat files should be real names of the computers.\r\nI am not sure whether I would be able to work on the tonight or tomorrow. Show it someone and ask them to execute and may be rewrite the parts thats not working.'
'no spam','Hi!\r\n\r\n  Find the attached Doc. of Quantitative Aptitude MATERIAL.\r\n\r\nRegards'
spam,'Through some discreet inquiries from my Chambers of Commerce, you and your\r\norganization were revealed as being quite astute in private\r\nentrepreneurship. One has no doubt in your ability to handle a financial\r\nbusiness of considerable amount, which will form a bedrock of an extensive\r\nbusiness partnership in due course. In unfolding this proposal, I want to\r\ncount on you as a respected executive of your company to believe that you\r\nwill handle it with all maturity and confidentiality it deserves.\r\n\r\nI am a member of the Federal Government of Nigeria Contract Award and\r\nMonitoring Committee in the Nigerian National Petroleum Corporation  (NNPC).\r\n\r\nSometime ago, a contract was awarded to a foreign firm by my committee in\r\nNNPC. This contract was over invoiced to the tune of US$21.5M (Twenty One\r\nMillion, Five Hundred Thousand). This was done deliberately. The\r\nover-invoicing was a deal by my committee to benefit from the project.\r\n\r\nWe are civil servants and we will not want to miss this opportunity. We\r\nwant this money to be transferred to the overseas Account for us.\r\n\r\nPlease contact me immediately through my confidential email\r\n\"kola-adams@excite.com\" whether or not you are interested in this deal. If\r\nyou are not, it will enable me scout for another foreign partner to carry\r\nout this deal.\r\n\r\nTime is of essence in this business.\r\n\r\nI wait in anticipation of your fullest cooperation.\r\n'
spam,'TERMS OF AGGREMENTS. \r\n1.BOTH PARTIES WILL NOT FOR ANY REASON CHEAT\r\nEACH OTHER.\r\n2.BOTH PARTIES WILL SIGNED A BINDING AGREEMENT THAT\r\nWILL GUIDE AND PROTECT THE INTEREST OF EACH OTHER BOTH\r\nDURING AND AFTER THE TRANSACTION3.BOTH PARTIES WILL\r\nWORK TOGETHER TO SEE THIS\r\nTRANSACTION THROUGH.4.A HIGH DEGREE OF TRUST AND\r\nCONFIDENTIALITY WILL BE\r\nAPPLIED . 5.YOU WILL NOT DISAPPEAR WITH MY FUND AFTER\r\nYOU HAVE\r\nBEEN PAID INTO YOUR ACCOUNTS IN YOUR COUNTRY. \r\n6.YOUR FULL ADDRESSE,COMPANY & HOME WILL BE GIVEN\r\nTOME. \r\n7.DISBURESMENT RATIO WILL BE ACCORDING TO WHAT WEWILL\r\nAGGREE. \r\nWhy I decided all this is because of the high rate of\r\nfraud now in the world and it will be hard for one to\r\nbelieve the other in such an assistance.l must let you\r\nknow that a high degree of trust is required. '
'no spam','Dear Campus:\r\n \r\nHere are some items to be aware of over the upcoming holiday break:\r\n \r\n1.     Banner / TopNet Maintenance – Banner Forms, Banner Document Imaging, and TopNet will be down (unavailable) Dec 29th, 30th, and until 12:00 noon on the 31st  for a major system upgrade. \r\n\r\n \r\nWKU InfoView – will be up and operational but reports that access Banner directly will not work during the upgrade.  All other reports should work.\r\n \r\nOther major systems such as Blackboard and Email will not be affected and will remain up and operational.\r\n \r\n2.    Conversion to TopperMail (Live@EDU) – we will be converting all active student and alumni email accounts to the new TopperMail over the break.  Visit: www.wku.edu/accounts for more information.\r\n\r\n \r\n3.    IT Help Desk Services – The IT Helpdesk will have limited support available during the Holiday break.  Clients will have an opportunity to leave a voicemail when they call 270-745-7000.  A consultant will attempt to return the call within 24 hours.\r\n\r\n \r\n\r\n4.    Energy Savings Reminder – Please turn off your computer and all other technology equipment over the break.\r\n\r\n \r\nAs always, check the Systems Status page for the latest and most up-to-date information: www.wku.edu/sysstatus .\r\n \r\nHave a safe holiday break.   See you in 2011.\r\n \r\n \r\nGordon Johnson, Jr.\r\nDirector Admin Systems and Applications\r\nWestern Kentucky University\r\n270.745.6455'
'no spam','Hey,\r\n\r\nSorry I was busy with the comprehensive exam and a conference.\r\n\r\nI will be free after saturday.\r\n'
'no spam','Recalibrate Your Reality\r\n\r\nBy Thorin Klosowski\r\nWish you were better/smarter/stronger/faster? Sure, hard work helps, but the truth is, your self perception may be getting in the way. We all form our own realities, and those realities aren\'t perfect. Your self perception can be very limiting, and shaking up your notion of the world can do wonders for your productivity, creativity, and happiness. Here\'s how to recalibrate your reality.\r\n\r\nRemember the last time you lost confidence after your boss was disappointed in your work—or maybe you were stood up by a friend? You second-guessed yourself after that, and ultimately your work or personal life suffered. The idea behind recalibrating your reality is pretty simple. When you get locked into a view of the world you get stuck in routines and you lose sight of different viewpoints. Recalibrating that view can help you solve problems, win arguments, and even be happier. But how do we actually do it? We\'ll take a look at a few of the different methods you can use to recalibrate your perception of the world and yourself, but first, we have to understand how we perceive the world to begin with.\r\n\r\nThe Basics of How We Perceive the World\r\n\r\nTo get a grasp on how we perceive the world, I talked with David Eagleman, neuroscientist at the Baylor College of Medicine and author of Incognito: The Secret Lives of the Brain and Timothy Wilson, psychologist at the University of Virginia and author of Redirect: The Surprising New Science of Psychological Chance.\r\n\r\nIn a literal sense, you can\'t perceive much more of the world than you already do. You only perceive what you really need in order to survive. David Eagleman explains:\r\n\r\nWe open our eyes and we think we\'re seeing the whole world out there. But what has become clear—and really just in the last few centuries—is that when you look at the electro-magnetic spectrum we are seeing less than 1/10 Billionth of the information that\'s riding on there. So we call that visible light. But everything else passing through our bodies is completely invisible to us.\r\n\r\nEven though we accept the reality that\'s presented to us, we\'re really only seeing a little window of what\'s happening. There\'s so many examples of this, but one that\'s interesting to third-graders, but also neuroscience is optical illusions. [Illusions demonstrate] that these really simple things that you think are going on in front of you are not actually representing physical reality but instead your brain is constructing something.\r\n\r\nOur construction of reality shapes and alters our view of the physical world. It also limits our cognitive ability because we weigh our views more importantly than others. Mr. Wilson explains:\r\n\r\nA lot of this happens unconsciously. We don\'t know how much we\'re interpreting. The world presents itself like it\'s reality and we don\'t know how much we\'ve already filtered that. There\'s a psychologist name Lee Brosan who calls this naive realism. We perceive the world as real, but we\'re doing a lot of spinning as the information comes in. He talks about it as a real impediment when we\'re in an argument because each person sees the world as real and thinks the other must be crazy or deliberately trying to destroy things when in fact they\'re just trying to bring their own expectations and facts to the table.\r\n\r\nRecognizing this limited view is the first step. David Eagleman describes this as the umwelt: the assumption that our reality is the only reality out there. He suggests the first thing we have to do is recognize our umwelt.\r\n\r\nThe key is when you appreciate the umwelt it gives you intellectual humility. You realize that even though you assume this is reality, there is so much you\'re not seeing and so much that\'s a part of other people\'s reality. The usefulness is recognizing this humility when making a hypothesis.\r\n\r\nRecognizing our own umwelt can help us recalibrate our version of reality and start looking at the world in a new and different way. Most of us can\'t do this by flipping a switch and require some exercises to get our brains into the habit of looking through other perspectives before making choices. Let\'s look at some of the ways you can utilize and act on this idea. Photo by neuroticcamel.\r\n\r\nHow to Alter Your Larger Outlook\r\n\r\nOne of the biggest reasons to recalibrate your reality is to attempt to expand your world outlook outside of yourself to help you become a better communicator and expand your problem solving ability. This is easier said than done. Let\'s look at ways you can actually implement it in your day.\r\n\r\nWait Five Minutes Before Your Respond\r\n\r\n\r\nOne regret most of us have is our stupid responses during debates or heated arguments. To help cure that and give yourself time to think, 37signals author Jason Fried suggests a simple approach: give it five minutes. He describes a situation where he was arguing with a speaker at a conference who eventually offered him this advice:\r\n\r\nHe said \"Man, give it five minutes.\" I asked him what he meant by that? He said, it\'s fine to disagree, it\'s fine to push back, it\'s great to have strong opinions and beliefs, but give my ideas some time to set in before you\'re sure you want to argue against them. \"Five minutes\" represented \"think\", not react. He was totally right. I came into the discussion looking to prove something, not learn something.\r\n\r\nMany arguments don\'t offer the luxury of a five minute response, but others, like email, social networks, or even conferences, give you plenty of time to formulate your response and recalibrate your reality before you say something stupid. Simply letting ideas settle in will inevitably force you to reconsider your own viewpoints, weigh them against your own, and give you an opportunity to come up with a better response. Photo by Valentina Powers.\r\n\r\nForce Yourself to Think from Alternate Points of View in Monotonous Situations\r\n\r\nIt\'s not all about making yourself better at arguing a point. It can also be used as a form of stress relief for daily annoyances. In his commencement speech given to the graduating class at Kenyon University in 2005, author David Foster Wallace talked about the dangers of self-centered worldview and the importance of disrupting our \"default setting\" and views of the world by considering other options.\r\n\r\nHis suggestion is pretty simple. When you get annoyed at a situation or another person, think about why you would do what they\'re doing. For example, if you\'re in the checkout line and a woman smacks her kid, consider how you would end up in that situation. Alternately, if someone cuts you off in traffic, imagine why (or even when) you\'ve done the same thing. Putting yourself in that mindset can change your view of a situation. As Wallace points out, doing this on a regular basis disrupts your default-setting and makes you more conscious of the world around you.\r\n\r\nWrite Out Your Day From Another Point of View\r\n\r\nIn his book, Mr. Wilson talks about the importance of writing things down as a means to understand different perspectives and one way to do that is to take a look at your day—whether that\'s work, your creative life, or happiness—from the third person. He explains:\r\n\r\nSome researchers have developed a method where they say, if something is nagging at us, write about it in the third person so we can look at it as objectively as we can as opposed to immersing ourselves in a negative experience. That kind of distance can be really helpful to change our story and to look at it in a new way and give new meaning to it.\r\n\r\nI think I try to do this sometimes. I remind myself that my interpretation of something is just that—an interpretation. It\'s not the only way. Sometimes it\'s good to to look at a situation the opposite way as an exercise.\r\n\r\nIt might make you feel a little like Bob Dole for a minute, but writing out your day from a different point of view will give you a unique perspective of your situation and can help you pinpoint where a problem is.\r\n\r\nThis isn\'t just about altering your view of the rest of the world though, it\'s also useful to recalibrate your perception of yourself. Let\'s see how you can do it. Photo by vtsr.\r\n\r\nAlter Your Perception of Self to Expand Your Notions of the World\r\n\r\nAs we\'ve seen above, we see the world through our own set of filters, but changing and recognizing those filters isn\'t too difficult. More difficult is editing your self-perception in order to change how you view the world. It\'s a bit difficult to imagine changing your own view, but here\'s a few ways you can do it.\r\n\r\nEdit Your Own Story\r\n\r\nOne of the central themes in Mr. Wilson\'s book is the idea that you unconsciously form your own narratives that frame the world and shape your sense of reality. Like any story, these narratives can be edited with a technique he calls story-editing.\r\n\r\nThe goal of story-editing is to change your personal interpretations of yourself and the social world to make yourself happier. One way Mr. Wilson suggests doing this is using the Pennebaker Writing Exercise. The process is pretty simple.\r\n\r\nFind a quiet, private place to write.\r\nCommit to writing about a problem for fifteen minutes a day for three consecutive days.\r\nEach time your write about a stress or problem, you reveal more and can subsequently edit your version of the story and understand it more. It\'s the same premise as five minute idea mentioned above. The writing exercise creates a self-assessment of your view and helps you consider other sides of a problem. This helps you interpret yourself differently in the social world and can provide insight into how you umwelt affects your decisions, creativity, and productivity.\r\n\r\nChange How You Present Yourself\r\n\r\nNew research from Northwestern University suggests that you may be influenced by how you present yourself. The researchers call this \"enclothed cognition\" and theorizes that clothes have an effect not just on how you\'re seen by the world, but also how you see yourself. Basically, you can alter your self-perception and subsequently your reality by wearing different clothes.\r\n\r\nThe research doesn\'t prove anything yet. Instead, it suggests that our clothes have an impact on how we view ourselves. As an experiment on yourself, outfit yourself differently for a day and take note of how people perceive you how you perceive yourself. Does wearing a tie make you feel like more of an adult? Does a uniform change the way you view work? When your self-perception is changed, so is your view of reality.\r\n\r\nTry on a Different Personality for an Hour\r\n\r\nThe idea of trying on a new personality might seem a little strange if you do it around friends and family, but doing so on a short flight or even in with a random conversation on the bus is an experience that completely alters your reality. It\'s also surprisingly easy to do. Mr. Wilson offers his experience:\r\n\r\nThe idea of trying on a new self can be a fun exercise. So, you\'re on a train or a plane and you\'re chatting with the person next to you and you just try on a new personality. For example, I tend to be a bit more on the introverted side and I often wish I was a little more talkative and socially skilled at parties and things. And that\'s something you can change if you practice it. So sometimes I\'ll just say, I\'m going to be an extrovert. And you know, I\'ll never be Mr. Extrovert, but it\'s amazing how easy it can be if you just try to adopt a different trait.\r\n\r\nI tried this idea myself. As a bit of an introvert, I tried on an extrovert hat while doing some work in a coffee shop one night. To my surprise, simply telling myself, \"I\'m an extrovert for the next two hours,\" actually made me more forthcoming to the person who was clearly trying to ignore me at the next table. It also gave me an idea of the difference in perception between an extrovert and an introvert. Where I typically would go to a coffee shop to work quietly in the corner, I took a seat closer to someone and actually engaged with them. I did this all automatically after I decided I was an extrovert and it wasn\'t until I looked back on it that I realized my seating choice and disposition was influenced by the conscious choice I made earlier. Photo by Strangeinterlude.\r\n\r\nCreate Hiccups in Your Physical Reality to Recalibrate Your Views\r\n\r\nOne of the problems of falling into a set notion of the world is that we stop being mindful of the world around us and that closes our perception even more. In a lot of ways it\'s a good thing, because it\'s a great boon to productivity to not have to give cognitive thought to a lot of our daily actions, but it\'s still good to change your world slightly now and again. It\'s easy to do and can have a surprising effect.\r\n\r\nRearrange Your Home Environment to See New Things\r\n\r\nRearranging your home is an oddly relaxing way to explore your own dwelling and take a good look at the reality you form. Over years of living in an apartment or house, objects get hidden away, pictures you meant to hang get stuffed in storage, and you get so relaxed in the world you create that you don\'t spend any time paying attention to it.\r\n\r\nYou don\'t have to completely redo your living room or go out and buy anything. It is as simple as taking down the art on your walls and rearranging them in new places. You could even consider flipping a room to offer a different perspective. The goal is to provide that cognitive bump in the road so that when you walk into your house you\'re forced to reassess the situation slightly and take the time to actually think about what you\'re seeing.\r\n\r\nTake Different Routes and Find New Areas to Explore\r\n\r\nLike the rearranging of your furniture, taking alternate routes is about expanding your reality into something larger and breaking your routine enough to cause you to pause. This doesn\'t mean you have to take a new way to work every day, but it might mean taking a different street to the grocery store or jogging along a different path. When you break your routine, you move away from your reality and take in another section of the world. Photo by Frank Tobia.\r\n\r\nThe end goal of recalibrating your reality is to expand your perception so you can make your life better and more interesting. The above methods can be used to work through creative blocks, problem solve issues at work, and even to deal with minor traumatic events. Once you recognize the umwelt and the embrace the idea that your perception is limited, it opens up all types of new ideas. Do you do things to recalibrate your notion of reality? Share them in the comments.'
spam,'We want to transfer to overseas\r\naccount($126,000.000.00 USD) One hundred and twenty\r\nsix million United States Dollars) from a Prime Bank\r\nin Africa,I want to ask you to  quietly  look for a\r\nreliable and honest person who will be capable and fit\r\nto provide either an existing bank account or to set\r\nup a new Bank a/c immediately to receive this money,\r\neven an empty a/c can serve to receive this money, as\r\nlong as you will remain honest to me till the end for\r\nthis important business trusting in you and believing \r\nin God that you  will never let me down either now or\r\nin future.\r\n \r\nWe will start the  first transfer with twenty six\r\nmillion [$26,000.000] upon successful transaction\r\nwithout any disappoint from your side, we shall\r\nre-apply for the payment of the remaining  rest\r\namount to your account. \r\n\r\nAt the conclusion of this business, you will be given\r\n35\% of the total amount, 60\% will be for me, while\r\n5\% will be for expenses both parties might have\r\nincurred during the process of transferring.\r\n'
spam,'After  a  serious thought ,I find it pertinent to reach you directly \r\nand personally through this medium.\r\nI\'m the Deputy Governor of  the Central Bank of Nigeria (CBN). As the \r\nApex Bank, I\'m responsible for all wire transfers within the Central \r\nBank of Nigeria and all affiliated Commercial Banks in the Country.\r\n\r\nFor justice and fair play, I\'m compelled to contact you directly \r\nconsidering the pressure, threat, and blackmail directed to my person  by  a\r\n\r\nnow suspended attorney here in Nigeria over my refusal to grant a \r\nremittance authority  to  his  client and the African Development Bank in \r\nParticular where an indigene of your Country that lost his life with the \r\nentire family in a ghastly motor accident  has a credit balance of \r\nUSD$35Million  with the above mentioned Bank.\r\n\r\nEverything will be over within 7 working days. For reasons best known \r\nto me, as it also affect my office, I have decided to reach you through \r\nthe internet until I get your interest indicated. I will give you a \r\nconfidential phone and fax numbers for easy communication on the \r\ndirectives.\r\n\r\nSharing modalities: You will part with 35\% of this sum including any \r\nother amount you may spend. Your prompt response is needed.\r\n\r\nReply through this e-mail: \r\n'
'no spam','Dear Gopi Nutakki,\r\n\r\nWe hope you’re enjoying your new phone. Here’s some important account information, helpful tutorials and easy-to-use self-service options to make your new phone experience and managing your account as flexible and convenient as possible. It\'s all right here - so let\'s get started! More questions? Contact your local AT&T Store and get the help you need.\t\tYour AT&T store\r\n\r\nBOWLING GREEN RETAIL 78880\r\n1770 CAMPBELL LN\r\nSTE C\r\nBOWLING GREEN, KY 42104\r\n\r\n\r\nmap this store or find another location\r\n\r\n\tYour phone: Motorola MB860\r\nPrimary number: 540-454-1537\r\nOperating System: Android 2.2\r\nPhone lines: 1 | add a line\r\n\r\nStandard features on your phone:\r\nCall Waiting\r\nCaller ID\r\nBasic Voicemail\r\n\r\nView phone tutorial\r\n \t\tPlan details: \r\nGet quick access to your calling plan details, features and phone upgrade eligibility.\r\n\r\nView plan details\r\n\r\nMobile Web Access\r\nYour Plan: DataPro 2GB for HSPA+/4G Smartphones\r\nIncludes: 2GBs of mobile data usage per month\r\n\r\n\t\r\nNow you can:\r\n•\tCheck your email on your phone\r\n•\tGet scores, stocks and movie times\r\n•\tSearch YELLOWPAGES.COM for local listings\r\n•\tFind friends on Facebook\r\n\r\n\tMessaging\r\nYour Plan: Messaging Unlimited with Mobile to Any Mobile Calling\r\nIncludes: Unlimited Calling and Messaging to or from any Mobile in the U.S. \r\n\r\n\t\r\nNow you can:\r\n•\tText cell phones and email addresses\r\n•\tSend and receive pictures and videos\r\n•\tChat in real time with Instant Messaging\r\n\r\n\r\n\r\nGETTING STARTED\r\nManage your account online \r\nView and pay your wireless bills, manage your rate plan, sign up for paperless billing and more, all from our easy-to-use site. \r\n\r\n \r\n\r\n\r\nUSEFUL LINKS\r\nPhone/Device Tips\r\nGet your AT&T bill in Spanish\r\nAnswer Center - answers to common questions\r\nHow to access AT&T\'s Wi-Fi Hot Spots\r\nUpgrade Phone - AT&T Upgrade AdvantageSM\t\t SERVICES\r\nInformation at your fingertips: \r\n• Check your balance\r\n \r\n• Make a wireless payment\r\n \r\n• Minutes remaining\r\n \r\n• Data remaining\r\n \r\n\r\nmore on how to use *Services\r\n\t\t\t\t\t\r\n \r\ncontact us   privacy policy\r\n\r\nMobile broadband not available everywhere.\r\n\r\nTo ensure delivery, please add our \'From\' address (att@em.wireless.att-mail.com) to your Address Book.\r\n\r\nThis email was sent to: gopi.nutakki@gmail.com\r\n\r\nYou have received this Account Service email because you are a wireless customer of AT&T. You will receive this type of notification to communicate important information about your account, payment and self-service options or updates to your att.com/myATT account. If you have any questions about how AT&T collects, uses and protects your personal information as a wireless customer, please visit our Privacy Policy at att.com/privacy.\r\n\r\n© 2011 AT&T Intellectual Property. All rights reserved. AT&T and the AT&T logo are trademarks of AT&T Intellectual Property.\r\n\r\nAT&T Mobility, 1055 Lenox Park Blvd. Atlanta, GA 30319-5309, United States of America. \r\n\r\nRef Code: 50215-F'
spam,'My name is Mr.Gilbert Gamal, a member of the contract award and monitoring\r\ncommittee of ministry of urban and rural development, my duty as empowered\r\nby the Mauritius Government is to provide the basic amenities, social\r\nrecreational activities in urban and rural areas, this programs include\r\nassistance to deprived local communities and to co-ordinate project and\r\ndevelopment at the national levels, further more from this projects we\r\nhave been able to secure some reasonable amount of US$20M (Twenty Million\r\nUnited States Dollars) as commission from various contractors resulting\r\nfrom over invoicing, hence all the necessary approvals has been completed.\r\nThis approved funds is now packaged and dispatched through a security\r\ncompany for onward delivery to it\'s destination here in Europe. This funds\r\nwere first deposited into a vault security company before we arranged for\r\nit\'s movement to Europe through diplomatic channel using decoy purporting\r\nthat the funds belongs to a foreign expert rate/company as we are\r\nGovernment officials we are not allowed to operate or open a foreign bank\r\naccount hence you need to stand as the beneficiary and claim this funds on\r\nour behalf from the security company. Presently I\'m now in Europe to\r\nsearch for a reliable person/company with high integrity/dignity one with\r\nconscience who will claim this funds on our behalf as the beneficiary, and\r\nwe have agreed to offer you 20\% of the total sum as commission for your\r\nassistance/effort, 5\% will be used to settle every expenses we might incur\r\non the process, we will use our 75\% to invest under your recommendations\r\nand guide and go into joint venture business with you. I would greatly\r\nappreciate your assistance, also you can call me on my private tel. number\r\nfor more details on how we go about this on +31 630512132 as I look\r\nforward to hear from you be informed that confidentiality is the nature of\r\nthis business because we would not be happy to loose our jobs.'
'no spam','Hi annaya,\r\n\r\nCan u send me the link to file tax forms online....\r\n\r\nThanking you,\r\n'
spam,'I am Bada Musa, Bank Manager of ORIENT BANK OF\r\nNIGERIA, Lagos Branch. I have urgent and very\r\nconfidential business proposition for you.\r\nOn June 6 1997, an American oil consultant/contractor\r\nwith the Nigerian National Petroleum Corporation, Mr.\r\nBarry Kelly made a numbered time (Fixed) deposited for\r\ntwelve calendar months, valued at US$25,000,000.00\r\n(Twenty-five Million Dollars) in my branch.\r\n\r\nI therefore made further investigation and discovered\r\nthat Mr. Barry Kelly did not declare any next of kin\r\nin all his official documents, including his Bank\r\nDeposit paperwork. This sum of US$25,000,000.00 is\r\nstill sitting in the Bank and the interest is being\r\nrolled over with the principal sum at the end of each\r\nyear. No one will come forward to claim it.\r\n\r\nWe shall employ the services of two attorneys for\r\ndrafting and notarization of the WILL and obtain the\r\nnecessary documents and letter of\r\nprobate/administration in your favor the transfer. A\r\nbank account in any part of the world, which you\r\nprovide, will then facilitate the transfer of this\r\nmoney to you as the beneficiary/next of kin. The money\r\nwill be paid into your account for us to share in the\r\nratio of 60\% for me and 40\% for you.'
spam,'We escaped to Ghana only because it\'s safe and near to my country but\r\nbecause a week before my father died, he told my mother of a lodgement\r\ncontaining $27m and other treasures like Gold which he deposited in a\r\nsecurity company here in Accra Ghana for safe keeping\r\n\r\nWe would like to know what you will take as your percentage for assisting\r\nus. We sincerely wish to introduce and make you our business partner and\r\noverseer of our proposed investment in your country or any where else. We\r\nare prepared to send all the documents regarding to this deposit as soon\r\nas you show your immediate response by E-mail.\r\n'
spam,'I was a Personal Assistant to\r\nthe Late Congo President, LURENT KABILA, who was\r\nassasinated in February and my aim of writing to you\r\nis because of the need for a trusted and honest\r\nperson, who I can entrust the sum of US$62,800,000\r\n(Sixty two million, eight hundred thousand\r\nUSDollars).\r\n Source of the money: I and the late president secured\r\nthis money in a security firm in Ghana, in my name\r\n before his death.  Now that he is late, I want to\r\n transfer the money out of Africa, for investment in\r\nyour\r\n country, I can not travel out of Nigeria where I am\r\non\r\nasylum, hence I am asking for your assistance to have\r\nthis money in your care pending when I will secure\r\ntravel documents to come over to your country.If you\r\naccept this offer we shall share the money as follows:\r\nfor you,\r\n25\%, 75\% for me.'
